1,Marian,Ferguson,90080317851,1
2,John,Nowak,94072881355,1
3,Maciej,Wojciechowski,80090282654,1
4,Fabian,Ronaldo,93022224056,1
5,Jacek,Ronaldo,97100755258,1
6,Gabriel,Wieczorek,92062365956,1
7,Fabian,Krywko,95102221851,1
8,Ludwik,Sikora,86020745555,1
9,Hubert,Olszewski,88011494855,1
10,Robert,Kaczmarek,81081296355,1
11,Maciej,Kucharczyk,88121393656,1
12,Zbigniew,Pietrzak,97072864258,1
13,Karol,Piast,96071976659,1
14,Stefan,Ferguson,96090767150,1
15,Gabriel,Gikiewicz,80061932153,1
16,Stefan,Peszko,86112558855,1
17,Radosław,Michalski,97012539258,1
18,Cyprian,Jaworski,91060587758,1
19,Alek,Ostrowski,92090456059,2
20,Borys,Coman,95051576858,2
21,Franciszek,Iwan,95021012250,2
22,Franciszek,Fabiański,82022485759,2
23,Igor,Pawlak,96021588850,2
24,Borys,Kaczmarek,86121524355,2
25,Jacek,Witkowski,87062455357,2
26,Adam,Kwiatkowski,97022055755,2
27,Alek,Wojciechowski,92120498653,2
28,Daniel,Berg,93011889456,2
29,Adrian,Zieliński,95110273755,2
30,Henryk,Michniewicz,94022001059,2
31,Damian,Olszewski,90052416552,2
32,Krystian,Ostrowski,85061040256,2
33,Kacper,Baran,90092251952,2
34,Daniel,Kucharczyk,88052421059,2
35,Daniel,Nowak,96022056853,2
36,Ludwik,Jaworski,95021138754,2
37,Maciej,Baran,92110693852,3
38,Fabian,Cionek,93100794256,3
39,Mariusz,Lewandowski,93040410152,3
40,John,Michalak,84010911152,3
41,Franciszek,Grosicki,96022859057,3
42,Zbigniew,Baran,83070547655,3
43,Damian,Kaczmarek,87102339054,3
44,Arkadiusz,Berg,85052072650,3
45,Olaf,Ronaldo,89101731253,3
46,Adam,Varnsdorf,94031796052,3
47,Bartosz,Ronaldo,91091277157,3
48,Henryk,Pietrzak,97061159952,3
49,John,Nowakowski,90031403455,3
50,Alek,Adamczyk,94042624859,3
51,Marian,Majewski,90030402854,3
52,Stefan,Kowalczyk,83032137453,3
53,Maciej,Berg,90032891551,3
54,Roman,Ostrowski,80020353459,3
55,Maciej,Pawlak,80090755755,4
56,John,Kowalski,82042898252,4
57,Krystian,Guardiola,88092641057,4
58,Szymon,Smith,81120154259,4
59,Mariusz,Wieczorek,80072236255,4
60,Maciej,Smith,91041991050,4
61,Arkadiusz,Jaworski,97060762553,4
62,Mariusz,Sikora,90121953959,4
63,Gabriel,Salomon,89042606955,4
64,Radosław,Gikiewicz,84021240851,4
65,Dariusz,Berg,89071045053,4
66,Dominik,Berg,95072765053,4
67,Robert,Krawczyk,91042212650,4
68,Arkadiusz,Nowakowski,89091672858,4
69,Hubert,Sabat,87102235355,4
70,Kamil,Witkowski,81061495558,4
71,Cyprian,Peszko,86092391158,4
72,Robert,Majewski,90040543056,4
73,Szymon,Miodulski,89071890059,5
74,Marian,Ostrowski,92091707556,5
75,Dariusz,Zbrożyna,89042539756,5
76,Borys,Piotrowski,91111960552,5
77,Roman,Jankowski,87021410957,5
78,Olaf,Kwiatkowski,95060513051,5
79,Ludwik,Boruc,80060572954,5
80,Ryszard,Berg,83060251555,5
81,Gabriel,Nowak,96060479254,5
82,Krzysztof,Kaczmarek,97052804750,5
83,Bartosz,Ostrowski,94112444959,5
84,Mariusz,Salomon,80022226458,5
85,Kacper,Grosicki,91040664452,5
86,Eryk,Kwiatkowski,83060823754,5
87,Łukasz,Majewski,97020424751,5
88,Karol,Zbrożyna,93020533750,5
89,Zbigniew,Kucharczyk,92042367857,5
90,Jacek,Piotrowski,85022687550,5
91,Piotr,Olszewski,97091826758,6
92,Stefan,Peszko,85061597057,6
93,Radosław,Krychowiak,82071542451,6
94,Zbigniew,Michalski,89011545155,6
95,Tadeusz,Szewczyk,93040466257,6
96,Arkadiusz,Wojciechowski,84042636050,6
97,Dominik,Szewczyk,85091465054,6
98,Cyprian,Iwan,82090983553,6
99,Ryszard,Nowicki,88042698258,6
